ID	Dataset	Reference			River/ReachName	Region	Slope	D50	Depth	width	drainage area	Lat	Long	PlateBDist	Subsurface grain size	Armor ratio	Large Wood (pieces/m2)	Percent Sedimentary
155	"Mulvihil et al., 2009"	26	54	53	"Valatie Kill near Nassau, NY"	", USA"	0.002	0.024892	0.64008	11.75004	24.55296523	42.55194444	-73.59138889	3910820				NaN
156	"Mulvihil et al., 2009"	26	54	53	"Mahwah River near Suffern, NY"	", USA"	0.002	0.01905	0.81534	13.1064	31.8566954	41.14111111	-74.11611111	3871340				NaN
157	"Mulvihil et al., 2009"	26	54	53	"Sandy Creek near Adams, NY"	", USA"	0.002	0.076962	1.7272	33.528	354.8266073	43.81333333	-76.07472222	3728550				1
158	"Mulvihil et al., 2009"	26	54	53	"Oatka Creek at Garbutt, NY"	", USA"	0.003	0.070612	0.90424	49.886616	517.9950471	43.01	-77.79138889	3578450				1
159	"Mulvihil et al., 2009"	26	54	53	"Bouquet River at Willsboro, NY"	", USA"	0.003	0.122174	1.70688	49.149	699.2933136	44.35833333	-73.39444444	3940200				0.033547903
160	"Mulvihil et al., 2009"	26	54	53	"Ramapo River at Ramap, NY"	", USA"	0.004	0.084074	1.00584	33.2232	225.068848	41.14027778	-74.16861111	3861610				0.258124719
161	"Mulvihil et al., 2009"	26	54	53	"Esopus Creek at Cold Brook, NY"	", USA"	0.005	0.15748	1.87452	59.34456	497.2752452	42.01416667	-74.27055556	3854060				1
162	"Mulvihil et al., 2009"	26	54	53	"Neversink River near Claryville, NY"	", USA"	0.005	0.163068	1.28016	31.15056	172.4923507	41.89	-74.59	3829700				1
163	"Mulvihil et al., 2009"	26	54	53	"Horse Pound Brook near Lake Carmel, NY"	", USA"	0.009	0.034036	0.54864	14.6304	10.20450243	41.47586111	-73.68947222	3900060				0
164	"Mulvihil et al., 2009"	26	54	53	"Platte Kill near Dunraven, NY"	", USA"	0.01	0.087122	0.762	16.96212	90.39013572	42.13305556	-74.69555556	3827580				1
165	"Mulvihil et al., 2009"	26	54	53	"Tremper Kill near Andes, NY"	", USA"	0.01	0.103124	0.70104	19.9644	85.98717782	42.12	-74.81861111	3815360				1
166	"Mulvihil et al., 2009"	26	54	53	"Chestnut Creek at Grahamsville, NY"	", USA"	0.012	0.068072	0.79248	20.86356	54.13048242	41.845	-74.53944444	3839390				1
169	"Sherwood and Huitger, 2005"	32	59	58	"Licking River near Newark, OH"	", USA"	0.0003	0.01471	2.319528	75.5904	1390.816702	40.05916667	-82.33972222	3173170				1
170	"Sherwood and Huitger, 2005"	32	59	58	"Ohio Brush Creek near West Union, OH"	", USA"	0.0006	0.03793	3.681984	63.79464	1002.320416	38.80361111	-83.42111111	3055650				1
171	"Sherwood and Huitger, 2005"	32	59	58	"Clear Creek near Rockbridge, OH"	", USA"	0.0011	0.03123	2.115312	21.91512	230.507796	39.58833333	-82.57861111	3152940				1
172	"Sherwood and Huitger, 2005"	32	59	58	"Greenville Creek near Bradford, OH"	", USA"	0.0011	0.02786	1.3716	43.434	499.8652205	40.10222222	-84.43	3002620				1
173	"Sherwood and Huitger, 2005"	32	59	58	"Sandusky River near Bucyrus, OH"	", USA"	0.0015	0.0443	1.328928	29.68752	229.9898009	40.80361111	-83.00583333	3131550				1
174	"Sherwood and Huitger, 2005"	32	59	58	"Old Woman Creek at Berlin Road near Huron, OH"	", USA"	0.0019	0.01517	1.368552	13.92936	57.23845271	41.34833333	-82.51388889	3174790				1
175	"Sherwood and Huitger, 2005"	32	59	58	"Yellow Creek near Hammondsville, OH"	", USA"	0.0033	0.05412	1.47828	38.46576	380.7263596	40.53777778	-80.72527778	3316880				1
178	"O'Connor et al., 2014"	28	31	30	"Chetco River nr Brookings, OR"	", USA"	0.0014	0.03773	5		701.619	42.12361111	-124.1861111	63245.6				NaN
179	"Williams, 1978"	36	63	62	"Winberry Creek near Lowell, OR"	", USA"	0.0042	0.06	2.49	29.3	113.6999128	43.91444444	-122.6875	183848				0
180	"Faustini, 2000"	11	40	39	"Lookout Creek near Blue River, OR"	", USA"	0.015	0.09	1.18	27.3	62.3949	44.20972222	-122.2555556	225610				0
181	"Chaplin, 2006"	7	36	35	"Little Lehigh Creek near Allentown, PA"	", USA"	0.001	0.0244	1.103376	19.41576	209.269999	40.58222222	-75.48333333	3754060				0.645261743
182	"Chaplin, 2006"	7	36	35	"Schuylkill River at Landingville, PA"	", USA"	0.001	0.0269	1.551432	34.4424	344.4667063	40.62916667	-76.125	3705200				1
183	"Chaplin, 2006"	7	36	35	"Spring Creek near Milesburg, PA"	", USA"	0.001	0.0182	1.377696	23.68296	367.7764835	40.93166667	-77.78583333	3558790				NaN
184	"Chaplin, 2006"	7	36	35	"Chillisquaque Creek at Washingtonville, PA"	", USA"	0.001	0.0506	1.2192	22.7076	132.8657296	41.06166667	-76.68055556	3653220				1
185	"Chaplin, 2006"	7	36	35	"Tuscarora Creek near Port Royal, PA"	", USA"	0.001	0.0581	1.865376	60.96	554.2547004	40.51527778	-77.41944444	3589230				1
186	"Chaplin, 2006"	7	36	35	"Sherman Creek at Shermans Dale, PA"	", USA"	0.001	0.0516	1.115568	61.5696	536.1248738	40.32333333	-77.16916667	3614480				1
187	"Chaplin, 2006"	7	36	35	"Yellow Breeches Creek near Camp Hill, PA"	", USA"	0.001	0.023	1.572768	38.7096	551.6647252	40.22472222	-76.89833333	3632590				0.882739526
188	"Chaplin, 2006"	7	36	35	"Little Mahoning Creek at McCormick, PA"	", USA"	0.001	0.0675	1.55448	30.48	226.3638356	40.83611111	-79.11027778	3454630				1
189	"Chaplin, 2006"	7	36	35	"Spring Creek near Houserville, PA"	", USA"	0.002	0.0506	0.710184	20.05584	151.5135513	40.83361111	-77.82777778	3556590				NaN
190	"Chaplin, 2006"	7	36	35	"East Mahantango Creek near Dalmatia, PA"	", USA"	0.002	0.0495	1.560576	40.5384	419.5759882	40.61111111	-76.91222222	3632550				1
191	"Chaplin, 2006"	7	36	35	"Buffalo Creek near Freeport, PA"	", USA"	0.002	0.0446	1.46304	34.1376	354.8266073	40.71644444	-79.69991667	3401470				1
192	"Chaplin, 2006"	7	36	35	"Little Shenango River at Greenville, PA"	", USA"	0.002	0.0523	1.719072	22.098	269.3574245	41.42194444	-80.37638889	3349420				1
193	"Cinotto, 2003"	9	38	37	"Chester Creek near Chester, PA"	", USA"	0.002	0.0481	1.32588	21.21408	158.2474869	39.86888889	-75.40861111	3744020				0.342934541
194	"Chaplin, 2006"	7	36	35	"Jordan Creek near Schnecksville, PA"	", USA"	0.003	0.0453	0.954024	32.3088	137.2686875	40.66166667	-75.62722222	3746410				1
195	"Chaplin, 2006"	7	36	35	"Monocacy Creek at Bethlehem, PA"	", USA"	0.003	0.0562	0.64008	16.64208	115.253898	40.64111111	-75.37972222	3765950				1
196	"Chaplin, 2006"	7	36	35	"Lycoming Creek near Trout Run, PA"	", USA"	0.003	0.133	1.167384	61.5696	448.0657158	41.41833333	-77.03305556	3623530				1
197	"Chaplin, 2006"	7	36	35	"West Branch Clarion River at Wilcox, PA"	", USA"	0.003	0.067	0.902208	29.62656	163.1684398	41.57527778	-78.6925	3494940				NaN
198	"Chaplin, 2006"	7	36	35	"Laurel Hill Creek at Ursina, PA"	", USA"	0.003	0.0672	1.152144	49.0728	313.3870035	39.82027778	-79.32166667	3426600				1
199	"Chaplin, 2006"	7	36	35	"Aquashicola Creek at Palmerton, PA"	", USA"	0.004	0.0988	0.826008	44.5008	198.6511006	40.80611111	-75.59833333	3748560				1
200	"Cinotto, 2003"	9	38	37	"West Branch Brandywine Creek at Modena, PA"	", USA"	0.004	0.0243	0.844296	29.566	142.448638	39.96166667	-75.80166667	3718490				0.225353848
201	"Williams, 1978"	36	63	62	"Towanda Creek near Monroeton, PA"	", USA"	0.0042	0.045	2.41	46.9	556.8446757	41.70694444	-76.485	3672000				1
202	"Chaplin, 2006"	7	36	35	"Wapwallopen Creek nr Wapwallopen, PA"	", USA"	0.006	0.0584	0.841248	21.12264	113.4409153	41.05916667	-76.09388889	3704190				1
203	"Chaplin, 2006"	7	36	35	"Marsh Creek at Blanchard, PA"	", USA"	0.006	0.0778	0.77724	19.44624	114.2179079	41.05944444	-77.60611111	3582760				1
204	"Chaplin, 2006"	7	36	35	"Blockhouse Creek near English Center, PA"	", USA"	0.006	0.0819	0.999744	28.31592	97.64206638	41.47361111	-77.23111111	3613820				1
205	"Chaplin, 2006"	7	36	35	"Kishacoquillas Creek at Reedsville, PA"	", USA"	0.006	0.18	1.4478	35.3568	424.7559386	40.65472222	-77.58333333	3581560				1
206	"Chaplin, 2006"	7	36	35	"Little Schuylkill River at Tamaqua, PA"	", USA"	0.007	0.119	0.79248	16.9164	111.1099376	40.80694444	-75.97222222	3719270				1
207	"Chaplin, 2006"	7	36	35	"Tonoloway Creek near Needmore, PA"	", USA"	0.008	0.0614	0.566928	11.09472	27.71273502	39.89833333	-78.1325	3525680				NaN
208	"Chaplin, 2006"	7	36	35	"Corey Creek near Mainesburg, PA"	", USA"	0.009	0.0682	0.755904	21.70176	31.59769787	41.79083333	-77.015	3633240				1
209	"Chaplin, 2006"	7	36	35	"Young Womans Creek near Renovo, PA"	", USA"	0.009	0.119	0.786384	25.81656	119.6568559	41.38944444	-77.69111111	3570220				1
210	"Chaplin, 2006"	7	36	35	"Sevenmile Run near Rasselas, PA"	", USA"	0.009	0.0735	0.697992	10.91184	20.30540585	41.63111111	-78.57694444	3497380				1
211	"Chaplin, 2006"	7	36	35	"Brandy Run near Girard, PA"	", USA"	0.012	0.041	0.256032	8.86968	11.5253898	41.99194444	-80.29138889	3364430				NaN
212	"Chaplin, 2006"	7	36	35	"Waldy Run near Emporium, PA"	", USA"	0.014	0.101	0.408432	13.53312	13.57147023	41.57888889	-78.29277778	3524050				NaN
214	"Bent and Waite, 2013"	5	35	34	"Branch River at Foresdale, RI"	", USA"	0.0022	0.06588	1.045464	25.4	236.1168	41.99638889	-71.56305556	4079570				0
215	"Andrews, 2000"	4	34	33	"East Fork Virgin River near Springdale, UT"	", USA"	0.004	0.025	0.58	7.8	888.3615058	37.16416667	-112.9577778	593633				1
216	"Keaton et al., 2005"	13	42	41	"North Fork Holston River near Saltville, VA"	", USA"	0.0016	0.0552	0.88392	66.4464	572.3845271	36.89666667	-81.74638889	3120790				1
217	"Keaton et al., 2005"	13	42	41	"North Fork Shenandoah River at Cootes Store, VA"	", USA"	0.0016	0.0558	1.70688	45.4152	543.8947995	38.63694444	-78.85305556	3417970				1
218	"Keaton et al., 2005"	13	42	41	"Bluestone River at Falls Mills, VA"	", USA"	0.0017	0.0256	1.0668	17.2212	114.7359029	37.27138889	-81.305	3171580				NaN
219	"Lotspeich, 2009"	21	50	49	"South Fork Quantico Creek near Independent Hill, VA"	", USA"	0.002	0.0241	0.6096	8.656	19.7356113	38.58722222	-77.42888889	3531420				0.999324487
220	"Keaton et al., 2005"	13	42	41	"Potts Creek near Covington, VA"	", USA"	0.0022	0.0506	1.524	35.6616	396.266211	37.72888889	-80.0425	3288180				1
221	"Keaton et al., 2005"	13	42	41	"Smith Creek near New Market, VA"	", USA"	0.0022	0.0219	1.43256	27.8892	242.4216821	38.69333333	-78.64305556	3440260				1
222	"Keaton et al., 2005"	13	42	41	"South Fork Holston River at Riverside, near Chilhowie, VA"	", USA"	0.0022	0.0627	0.97536	22.18944	198.392103	36.76027778	-81.63138889	3119780				0.995322863
223	"Keaton et al., 2005"	13	42	41	"South Fork Roanoke River near Shawsville, VA"	", USA"	0.0024	0.0657	1.40208	34.4424	282.3073007	37.14	-80.26666667	3249920				0.345072405
224	"Keaton et al., 2005"	13	42	41	"Cedar Creek near Winchester, VA"	", USA"	0.0026	0.0329	1.61544	31.0896	264.177474	39.08111111	-78.32972222	3483290				1
225	"Keaton et al., 2005"	13	42	41	"Linville Creek at Broadway, VA"	", USA"	0.0027	0.0198	0.85344	17.86128	118.3618683	38.60666667	-78.80361111	3426540				1
226	"Keaton et al., 2005"	13	42	41	"Reed Creek at Grahams Forge, VA"	", USA"	0.0033	0.0652	1.0668	46.6344	668.2136108	36.93888889	-80.8875	3186800				1
227	"Keaton et al., 2005"	13	42	41	"Middle Fork Holston River at Seven Mile Ford, VA"	", USA"	0.0033	0.0461	1.24968	25.2984	341.8767311	36.80722222	-81.62222222	3124630				1
228	"Keaton et al., 2005"	13	42	41	"Dunlap Creek near Covington, VA"	", USA"	0.0035	0.0828	1.46304	35.6616	419.5759882	37.80277778	-80.04722222	3293170				1
229	"Keaton et al., 2005"	13	42	41	"Jackson River near Bacova, VA"	", USA"	0.0038	0.149	1.524	32.6136	406.626112	38.04222222	-79.88166667	3316930				1
230	"Lotspeich, 2009"	21	50	49	"Sandy River near Danville, VA"	", USA"	0.004	0.0904	1.64592	41.148	287.4872512	36.61944444	-79.50444444	3296560				0.992316873
231	"Keaton et al., 2005"	13	42	41	"Tinker Creek near Daleville, VA"	", USA"	0.0044	0.0374	0.73152	11.76528	30.30271026	37.4175	-79.93555556	3282030				1
232	"Keaton et al., 2005"	13	42	41	"South River at Harriston, VA"	", USA"	0.0048	0.123	1.3716	40.84	549.0747499	38.21861111	-78.83694444	3406170				0.903251818
233	"Lotspeich, 2009"	21	50	49	"Aquia Creek near Garrisonville, VA"	", USA"	0.005	0.0578	1.03632	18.227	90.64913325	38.49027778	-77.43388889	3535040				0.471183786
234	"Keaton et al., 2005"	13	42	41	"Hogue Creek near Hayfield, VA"	", USA"	0.0054	0.0503	0.82296	13.35024	41.18060625	39.21444444	-78.28833333	3488520				1
235	"Lotspeich, 2009"	21	50	49	"Smith River at Smith River Church near Woolwine, VA"	", USA"	0.006	0.0503	0.762	20.909	68.1163487	36.77833333	-80.24944444	3239460				0
236	"Keaton et al., 2005"	13	42	41	"Bullpasture River at Williamsville, VA"	", USA"	0.0095	0.2	1.12776	28.16352	284.8972759	38.19527778	-79.57055556	3344310				1
237	"Keaton et al., 2005"	13	42	41	"Passage Creek near Buckton, VA"	", USA"	0.0124	0.137	1.31064	23.7744	224.0328579	38.95805556	-78.26694444	3486620				NaN
238	"Mueller et al., 2005; Jones and Seitz, 1980"	25	2	2	"Snake River nr Anatone, WA"	", USA"	0.001	0.054	5.12		240673.44	46.09722222	-116.9766667	607289				NaN
239	"Keaton et al., 2005"	13	42	41	"South Branch Potomac River at Franklin, WV"	", USA"	0.0052	0.103	1.31064	31.3944	463.6055672	38.63555556	-79.33805556	3378550				1
240	"Messinger, 2009"	24	53	52	"Sand Run near Buckhannon, WV"	", USA"	0.006	0.105156	0.54864	15.636	37.03664587	38.96388889	-80.15277778	3334790				1
241	"Williams, 1978"	36	63	62	"Blacks Fork near Little America, WY"	", USA"	0.0008	0.018	1.78	57.9	8028.92323	41.54611111	-109.6927778	1135690				1
242	"Foster, 2012"	12	41	40	"Jack Creek above Coyote Draw, near Saratoga, WY"	", USA"	0.002	0.0366	0.393192	26.8224	282.3073007	41.43916667	-106.9711111	1289690				0.803680529
243	"Mueller et al., 2005"	25	2	2	"Wind River at Riverton, WY"	", USA"	0.001	0.022	1.67	41.6	5980.252819	43.01055556	-108.3761111	1325480				NaN
244	"Foster, 2012"	12	41	40	"Little Popo Agie River near Lander, WY"	", USA"	0.005	0.0808	0.64008	15.6972	323.7469045	42.71666667	-108.6427778	1290740				0.550475648
245	"Foster, 2012"	12	41	40	"South Fork Shoshone River near Valley, WY"	", USA"	0.009	0.0744	0.957072	42.73296	769.222645	44.2075	-109.555	1220040				NaN
246	"Foster, 2012"	12	41	40	"North Fork Powder River near Hazelton, WY"	", USA"	0.01	0.09	0.408432	13.07592	63.45439327	44.02777778	-107.0802778	1415100				NaN
247	"Foster, 2012"	12	41	40	"North Fork Shoshone River at Wapiti, WY"	", USA"	0.012	0.1586	1.237488	49.13376	1810.39269	44.46972222	-109.4297222	1218400				0.001546321
248	"Foster, 2012"	12	41	40	"Shell Creek near Shell, WY"	", USA"	0.013	0.1396	0.734568	23.07336	375.5464092	44.565	-107.7122222	1353510				0.553640104
249	"Foster, 2012"	12	41	40	"Rock Creek above King Canyon Canal near Arlington, WY"	", USA"	0.014	0.1332	0.911352	15.02664	162.9094423	41.58527778	-106.2222222	1348330				0.041554587
250	"Foster, 2012"	12	41	40	Soda Butte Creek at Park Boundary at Silver Gate	", USA"	0.015	0.077	0.560832	18.56232	80.80722735	45.00283056	-110.0018722	1160560				0.286577704
251	"Noah Snyder, personal communication"	27	55	54	Westbranch Sheepscot 1	", ME, USA"	0.003507313	0.0879	0.838	22.2705176	102.19892	44.3042	-69.5591	4247080				1
252	"Noah Snyder, personal communication"	27	55	54	Westbranch Sheepscot 2	", ME, USA"	0.007178032	0.05155	0.355	21.86783975	24.2306	44.4071	-69.478	4253290				1
253	"Noah Snyder, personal communication"	27	55	54	Sheepscot River 3	", ME, USA"	0.002104782	0.0342	1.405	25.7948802	422.13604	44.118	-69.6288	4240960				0.876429897
254	"Noah Snyder, personal communication"	27	55	54	Sheepscot River 4	", ME, USA"	0.000855089	0.047025	1.1975	29.38952125	408.71235	44.1596	-69.6189	4244010				NaN
255	"Noah Snyder, personal communication"	27	55	54	Sheepscot River 5	", ME, USA"	0.003196276	0.059625	1.22625	28.46857775	407.908625	44.1666	-69.6194	4244010				NaN
256	"Noah Snyder, personal communication"	27	55	54	Sheepscot River 6	", ME, USA"	0.002672994	0.0182	0.726	12.1290622	121.05844	44.3287	-69.4608	4259680				NaN
257	"Noah Snyder, personal communication"	27	55	54	Sheepscot River 7	", ME, USA"	0.006232718	0.06178	1.119	15.2336568	118.36074	44.3349	-69.4568	4259680				NaN
258	"Noah Snyder, personal communication"	27	55	54	Sheepscot River 8	", ME, USA"	0.010359531	0.06686	1.005	15.9540902	117.10434	44.3393	-69.4505	4259680				0.838130731
259	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 9	", ME, USA"	0.001365166	0.02756	1.11	14.31569122	256.86294	44.7539	-68.0077	4370310				0.67065211
260	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 10	", ME, USA"	0.001566435	0.041283333	0.98	21.35503823	255.3420667	44.7572	-68.0139	4370310				NaN
261	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 11	", ME, USA"	0.004024056	0.086502788	1.244	20.1781742	246.72912	44.7796	-68.0181	4370310				NaN
262	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 12	", ME, USA"	0.002389976	0.03938598	1.023	24.32346551	239.96516	44.7871	-68.0143	4370310				NaN
263	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 13	", ME, USA"	0.000419667	0.01408396	1.05675	30.97498531	211.86604	44.7967	-68.0211	4370310				NaN
264	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 14	", ME, USA"	0.000633774	0.018694359	0.961071429	22.63718638	208.2415571	44.8042	-68.0314	4370310				NaN
265	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 15	", ME, USA"	0.004870869	0.042815206	0.9225	31.90162519	181.02625	44.8338	-68.0666	4370310				NaN
266	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 16	", ME, USA"	0.004839707	0.05038498	1.135	21.46647058	172.92822	44.8409	-68.0695	4360840				NaN
267	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 17	", ME, USA"	0.005213825	0.051259193	0.9325	23.53708619	171.792475	44.8498	-68.0706	4363310				NaN
268	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 18	", ME, USA"	0.005018866	0.043112069	1.095	19.22570197	167.9936	44.8563	-68.0729	4363310				NaN
269	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 19	", ME, USA"	0.00130368	0.00884458	1.33	18.26659158	160.5287	44.869	-68.0812	4363310				NaN
270	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 20	", ME, USA"	0.000925741	0.005240624	1.051	17.38326546	149.19482	44.8729	-68.0886	4363310				NaN
271	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 21	", ME, USA"	0.001048561	0.018838419	0.98	18.39348864	131.916	44.8806	-68.0897	4363310				NaN
272	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 22	", ME, USA"	0.00090646	0.02292359	1.106	17.61381443	130.91342	44.8899	-68.0962	4363310				NaN
273	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 23	", ME, USA"	0.001164918	0.01674102	1.16	14.14471951	108.7426	44.9099	-68.1003	4363310				NaN
274	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 24	", ME, USA"	0.000885429	0.02564	0.907	13.57474881	100.6594	44.9157	-68.1066	4363310				NaN
275	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 25	", ME, USA"	0.000903776	0.0071525	1.2925	11.37916479	85.2678	44.9364	-68.1123	4363310				NaN
276	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 26	", ME, USA"	0.002965983	0.024141667	1.064166667	11.19939573	65.33333333	44.9454	-68.1119	4363310				NaN
277	"Noah Snyder, personal communication"	27	55	54	Narraguagus River 27	", ME, USA"	0.004843516	0.03995	1.125	10.49795996	55.27796667	44.9526	-68.107	4362940				NaN
278	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 28	", ME, USA"	0.006733323	0.117766667	0.914	28.2639308	314.03716	45.4298	-69.1468	4262300				0.794009401
279	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 29	", ME, USA"	0.005839266	0.141016667	0.771666667	34.079074	311.9381167	45.436	-69.1552	4262300				NaN
280	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 30	", ME, USA"	0.007044485	0.169833333	1.0375	18.70332717	308.6272333	45.4406	-69.1625	4262300				NaN
281	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 31	", ME, USA"	0.001319293	0.0118225	0.8675	20.25051775	227.835725	45.4579	-69.2098	4262300				NaN
282	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 32	", ME, USA"	0.001026018	0.01663	0.76	23.5730948	224.70778	45.4671	-69.2254	4261980				NaN
283	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 33	", ME, USA"	0.002695018	0.03612	0.701	17.871507	222.71004	45.4748	-69.2377	4261980				NaN
284	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 34	", ME, USA"	0.003693751	0.05016	0.825	18.2840908	218.65434	45.4742	-69.2504	4261980				NaN
285	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 35	", ME, USA"	0.001604123	0.04014	0.953	17.387311	216.49924	45.4769	-69.2606	4251990				NaN
286	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 36	", ME, USA"	0.001280873	0.03542	0.825	16.4785584	192.3652	45.4805	-69.2717	4251990				NaN
287	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 37	", ME, USA"	0.005461216	0.06662	1.028	20.4111082	171.17516	45.4806	-69.2845	4251990				NaN
288	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 38	", ME, USA"	0.013306561	0.13034	0.943	17.6050246	125.89884	45.478	-69.2973	4251990				NaN
289	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 39	", ME, USA"	0.02230158	0.1692	0.922	17.3665008	113.25668	45.4806	-69.3097	4251990				NaN
290	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 40	", ME, USA"	0.00254713	0.041432	0.725	12.2442006	92.88724	45.5011	-69.3536	4251990				NaN
291	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 41	", ME, USA"	0.009113768	0.09155	0.63	16.3300415	91.015325	45.5089	-69.3522	4251990				NaN
292	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 42	", ME, USA"	0.003142731	0.063675	0.8225	19.55233575	89.088775	45.5185	-69.355	4251990				NaN
293	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 43	", ME, USA"	0.016162958	0.08584	0.739	11.4253406	23.7158	45.5696	-69.3066	4251990				NaN
294	"Noah Snyder, personal communication"	27	55	54	Westbranch Pleasant River 44	", ME, USA"	0.013665599	0.05965	0.718333333	11.27146517	20.94868333	45.5737	-69.2965	4251690				0.41889268
295	"Kellerhals et al., 1972"	14	43	42	8 Smoky at Watino	", Alberta, Canada"	0.00052	0.08	6.95	280	47915	55.724993	-117.610787	947048				0.991385238
296	"Kellerhals et al., 1972"	14	43	42	18 Wildhay near Hinton	", Alberta, Canada"	0.0054	0.042	1.16	51.2	966.07	53.559932	-117.921315	793788				0.858867905
297	"Kellerhals et al., 1972"	14	43	42	21 Wolf Creek at HWY 16	", Alberta, Canada"	0.00055	0.051	2.04	38.1	906.5	53.577929	-116.233195	891852				NaN
298	"Kellerhals et al., 1972"	14	43	42	22 Freeman near Fort Assiniboine	", Alberta, Canada"	0.0033	0.07	1.37	79.9	1714.58	54.34316	-114.8354	1015140				1
299	"Kellerhals et al., 1972"	14	43	42	27 Little Paddle near Mayerthorpe	", Alberta, Canada"	0.002	0.054	1.4	23.4	321.16	53.93247	-115.119903	974166				NaN
300	"Kellerhals et al., 1972"	14	43	42	40 Clearwater above Limestone Creek	", Alberta, Canada"	0.0057	0.027	1.1	49.4	1295	51.997279	-115.377904	863481				0.669817519
301	"Kellerhals et al., 1972"	14	43	42	42 Prairie Creek near Rocky Mountain House	", Alberta, Canada"	0.0036	0.043	1.22	31.1	823.62	52.270098	-114.94295	907083				0.968310987
302	"Kellerhals et al., 1972"	14	43	42	50 Red Deer at Drumheller	", Alberta, Canada"	0.00035	0.038	3.84	123	25019.4	51.462986	-112.700561	1022590				0.970847265
303	"Kellerhals et al., 1972"	14	43	42	53 Little Red Deer	", Alberta, Canada"	0.0021	0.047	1.28	59.4	2393.16	52.056288	-114.138761	949210				NaN
304	"Kellerhals et al., 1972"	14	43	42	113 Bow at Lake Louise	", Alberta, Canada"	0.0035	0.089	0.792	43.9	427.35	51.427803	-116.187323	784474				1
305	"Kellerhals et al., 1972"	14	43	42	67 Pipestone near Lake Louise	", Alberta, Canada"	0.015	0.145	0.762	35.1	352.24	51.446028	-116.170923	784474				NaN
306	"Kellerhals et al., 1972"	14	43	42	87 Oldman near Brocket	", Alberta, Canada"	0.0016	0.043	2.38	126	4403	49.556632	-113.77214	890000				0.933886948
307	"Kellerhals et al., 1972"	14	43	42	92 Crowsnest at Frank	", Alberta, Canada"	0.0024	0.045	0.945	30.5	419.58	49.603558	-114.416371	850000				NaN
308	"Kellerhals et al., 1972"	14	43	42	94 Castle near Beaver Mines	", Alberta, Canada"	0.0032	0.056	0.975	64.3	826.21	49.497931	-114.180474	860000				0.947138176
309	"Kellerhals et al., 1972"	14	43	42	95 Castle near Cowley	", Alberta, Canada"	0.0037	0.079	1.49	76.8	1126.65	49.533551	-114.033707	870000				0.963344598
310	"Kellerhals et al., 1972"	14	43	42	106 Drywood Creek near Twin Butte	", Alberta, Canada"	0.011	0.052	0.579	18	31.08	49.299993	-113.819795	890000				1
311	Kinerson (1990)	XX			Caspar Creek	", California, USA"	0.0153	0.0186	0.34	4.9	5			10000	0.0168	1.107142857		1
312	Kinerson (1990)	XX			Prairie Creek	", California, USA"	0.0043	0.0141	0.84	13.8	34.3			70000	0.0138	1.02173913		1
313	Authors				Bear Creek near Boulder Creek	", California, USA"	0.00544	0.0475	1.8	10.3	41.65			14142.1				1
314	Authors				Kings Creek	", California, USA"	0.00518	0.0125	1.3		19.4			20000				1
315	Authors				San Gregorio Creek 	", California, USA"	0.00785	0.0475	1.475	12.6	55.6			10000				1
316	"Matthew Cover, personal communication. "				"Devil's Gulch, Laguinatas Ck drainage"	", California, USA"	0.011	0.036	0.49	6	3.960946486			14142.1		2.75	0.008333333	1
